 , SIZE, TRAVELS, WAITS, CP, CD

CFG 2

RUN 1
 , 5, 14862, 0, 24, 0
 , 3, 3319, 0, 22, 0
 , 3, 3069, 1, 22, 0
 , 2, 2363, 1, 14, 0
 , 5, 13541, 2, 26, 0
 , 3, 3217, 4, 24, 0
 , 5, 16764, 0, 22, 0
 , 2, 2322, 2, 10, 0
 , 1, 2130, 4, 0, 0
 , 5, 16507, 0, 14, 0
 , 2, 2162, 6, 18, 0
 , 4, 5763, 1, 20, 0
 , 2, 2257, 4, 16, 0
 , 4, 4973, 0, 14, 0
 , 4, 5401, 4, 30, 0
 , 5, 15152, 2, 32, 0
 , 2, 2312, 1, 10, 0
 , 1, 2117, 3, 0, 0
 , 3, 3114, 1, 22, 0
 , 1, 2062, 1, 0, 0
 , 2, 2589, 14, 14, 0
 , 2, 2628, 5, 12, 0
 , 4, 4982, 9, 18, 0
 , 5, 17541, 1, 12, 0
 , 1, 2064, 5, 0, 0
 , 1, 2223, 15, 0, 0
 , 1, 2022, 5, 0, 0
 , 5, 12294, 2, 30, 0
 , 5, 16409, 1, 22, 0
 , 1, 2045, 7, 0, 0
 , 3, 2884, 14, 22, 0
 , 2, 2232, 8, 18, 0
 , 1, 2115, 14, 0, 0
 , 3, 3400, 20, 12, 0
 , 5, 14548, 2, 26, 0
 , 3, 3290, 23, 8, 0
 , 2, 2503, 13, 10, 0
 , 4, 5159, 3, 28, 0
 , 2, 2373, 18, 14, 0
 , 5, 16033, 0, 16, 0
 , 2, 2640, 15, 6, 0
 , 5, 14356, 2, 26, 0
 , 1, 2225, 16, 0, 0
 , 5, 16047, 1, 20, 0
 , 2, 2519, 20, 6, 0
 , 1, 1882, 17, 0, 0
 , 2, 2548, 19, 10, 0
 , 2, 2378, 34, 12, 0
 , 5, 14035, 0, 18, 0
 , 1, 2125, 18, 0, 0
 , 3, 3474, 12, 18, 0
 , 2, 2467, 25, 10, 0
 , 3, 3367, 10, 20, 0
 , 2, 2229, 27, 14, 0
 , 3, 3533, 14, 10, 0
 , 1, 1974, 32, 0, 0
 , 4, 5123, 6, 26, 0
 , 2, 2359, 26, 12, 0
 , 1, 2003, 42, 0, 0
 , 4, 5064, 21, 16, 0
 , 1, 1986, 25, 0, 0
 , 4, 5457, 17, 22, 0
 , 4, 5228, 24, 18, 0
 , 5, 14970, 5, 24, 0
 , 3, 3031, 26, 12, 0
 , 3, 3080, 26, 20, 0
 , 3, 3306, 24, 18, 0
 , 5, 14514, 3, 22, 0
 , 3, 3273, 39, 14, 0
 , 1, 2101, 41, 0, 0
 , 1, 2219, 68, 0, 0
 , 5, 15395, 4, 22, 0
 , 2, 2687, 47, 10, 0
 , 5, 12997, 8, 30, 0
 , 1, 2110, 79, 0, 0
 , 4, 4846, 10, 22, 0
 , 3, 3371, 47, 16, 0
 , 2, 2410, 64, 18, 0
 , 2, 2482, 71, 14, 0
 , 5, 12403, 8, 32, 0
 , 2, 2218, 86, 14, 0
 , 5, 14396, 6, 24, 0
 , 3, 3221, 44, 22, 0
 , 4, 5568, 38, 14, 0
 , 1, 1991, 59, 0, 0
 , 4, 5257, 52, 16, 0
 , 4, 5596, 31, 20, 0
 , 4, 5323, 33, 18, 0
 , 3, 3213, 34, 16, 0
 , 5, 14864, 7, 24, 0
 , 2, 2446, 42, 12, 0
 , 4, 6045, 26, 18, 0
 , 2, 2462, 85, 10, 0
 , 4, 5238, 48, 16, 0
 , 4, 5449, 29, 22, 0
 , 1, 1932, 100, 0, 0
 , 4, 5096, 67, 22, 0
 , 5, 14594, 0, 16, 0
 , 5, 15454, 6, 14, 0
 , 4, 4980, 23, 12, 0

RUN 2
 , 1, 1746, 0, 0, 0
 , 3, 2498, 0, 20, 0
 , 4, 4108, 0, 26, 0
 , 4, 4555, 0, 20, 0
 , 4, 4155, 1, 20, 0
 , 1, 1776, 2, 0, 0
 , 4, 3996, 0, 30, 0
 , 5, 12262, 0, 22, 0
 , 3, 2709, 0, 10, 0
 , 2, 2022, 4, 12, 0
 , 4, 4396, 1, 22, 0
 , 3, 2892, 1, 12, 0
 , 1, 1792, 1, 0, 0
 , 3, 2410, 4, 22, 0
 , 5, 12163, 0, 26, 0
 , 5, 11952, 0, 18, 0
 , 1, 1834, 5, 0, 0
 , 1, 1724, 6, 0, 0
 , 2, 1946, 1, 10, 0
 , 5, 11217, 4, 32, 0
 , 2, 2142, 12, 14, 0
 , 4, 4186, 0, 18, 0
 , 3, 2582, 4, 18, 0
 , 3, 2696, 1, 18, 0
 , 1, 1647, 5, 0, 0
 , 2, 1902, 1, 12, 0
 , 2, 1963, 5, 14, 0
 , 1, 1637, 16, 0, 0
 , 4, 3810, 11, 28, 0
 , 3, 3134, 2, 16, 0
 , 1, 1626, 3, 0, 0
 , 4, 4433, 6, 22, 0
 , 3, 2642, 11, 18, 0
 , 4, 4283, 4, 20, 0
 , 3, 2835, 7, 12, 0
 , 1, 1738, 6, 0, 0
 , 2, 1904, 15, 16, 0
 , 3, 2639, 13, 12, 0
 , 2, 1932, 9, 16, 0
 , 5, 12186, 1, 26, 0
 , 5, 12702, 0, 20, 0
 , 5, 11815, 6, 28, 0
 , 5, 10696, 4, 32, 0
 , 3, 2576, 8, 24, 0
 , 3, 2746, 5, 24, 0
 , 5, 11140, 1, 26, 0
 , 2, 1883, 15, 18, 0
 , 3, 2903, 12, 12, 0
 , 5, 11719, 4, 20, 0
 , 2, 1882, 17, 18, 0
 , 3, 2878, 8, 14, 0
 , 1, 1605, 14, 0, 0
 , 4, 4418, 25, 18, 0
 , 2, 2069, 33, 14, 0
 , 5, 11454, 1, 24, 0
 , 2, 1977, 23, 14, 0
 , 4, 4096, 4, 20, 0
 , 2, 1937, 17, 16, 0
 , 5, 12486, 1, 22, 0
 , 4, 4224, 16, 18, 0
 , 5, 12395, 1, 22, 0
 , 4, 4263, 6, 20, 0
 , 3, 2824, 39, 22, 0
 , 3, 2647, 54, 12, 0
 , 4, 4241, 36, 18, 0
 , 4, 4020, 12, 24, 0
 , 4, 3896, 22, 30, 0
 , 4, 3882, 26, 20, 0
 , 3, 2488, 9, 20, 0
 , 3, 2827, 30, 18, 0
 , 2, 1858, 23, 10, 0
 , 2, 2029, 51, 14, 0
 , 4, 4110, 22, 16, 0
 , 3, 2516, 28, 24, 0
 , 1, 1787, 43, 0, 0
 , 3, 2554, 54, 16, 0
 , 2, 1902, 30, 18, 0
 , 2, 1918, 30, 20, 0
 , 5, 11808, 4, 22, 0
 , 1, 1705, 79, 0, 0
 , 5, 12130, 1, 20, 0
 , 4, 3841, 15, 26, 0
 , 5, 11041, 3, 26, 0
 , 2, 2053, 28, 6, 0
 , 4, 4471, 23, 20, 0
 , 1, 1669, 52, 0, 0
 , 5, 12609, 0, 22, 0
 , 3, 3236, 54, 12, 0
 , 1, 1718, 45, 0, 0
 , 4, 4322, 32, 12, 0
 , 4, 4237, 40, 18, 0
 , 5, 10424, 17, 30, 0
 , 3, 2994, 30, 18, 0
 , 3, 2659, 71, 20, 0
 , 2, 2029, 75, 14, 0
 , 5, 12894, 5, 24, 0
 , 4, 4544, 94, 16, 0
 , 1, 1758, 105, 0, 0
 , 3, 2592, 94, 12, 0
 , 5, 11747, 9, 24, 0

RUN 3
 , 2, 3031, 0, 14, 0
 , 3, 4078, 1, 20, 0
 , 2, 3011, 0, 12, 0
 , 2, 3322, 0, 12, 0
 , 1, 2770, 0, 0, 0
 , 4, 7191, 2, 10, 0
 , 1, 2554, 5, 0, 0
 , 5, 15589, 0, 26, 0
 , 2, 3133, 4, 20, 0
 , 2, 3009, 3, 12, 0
 , 1, 2821, 1, 0, 0
 , 5, 17163, 5, 24, 0
 , 5, 17836, 1, 28, 0
 , 5, 16828, 0, 24, 0
 , 5, 17504, 0, 18, 0
 , 4, 6984, 2, 18, 0
 , 4, 6511, 1, 18, 0
 , 4, 7711, 7, 24, 0
 , 5, 16536, 3, 26, 0
 , 4, 6501, 10, 22, 0
 , 2, 3009, 10, 14, 0
 , 4, 5722, 2, 26, 0
 , 5, 16386, 0, 20, 0
 , 3, 4263, 3, 14, 0
 , 3, 3948, 7, 18, 0
 , 1, 2466, 2, 0, 0
 , 5, 17431, 3, 12, 0
 , 4, 6683, 7, 20, 0
 , 1, 2600, 13, 0, 0
 , 1, 2860, 5, 0, 0
 , 5, 15705, 4, 26, 0
 , 4, 7068, 1, 16, 0
 , 3, 4138, 6, 16, 0
 , 5, 17649, 2, 18, 0
 , 3, 4398, 14, 20, 0
 , 3, 4403, 4, 16, 0
 , 3, 4336, 8, 18, 0
 , 1, 2799, 12, 0, 0
 , 3, 3867, 14, 16, 0
 , 4, 6749, 6, 24, 0
 , 4, 6607, 12, 16, 0
 , 3, 4128, 12, 18, 0
 , 2, 3244, 8, 12, 0
 , 3, 4196, 14, 12, 0
 , 1, 2653, 22, 0, 0
 , 5, 17708, 2, 22, 0
 , 5, 18289, 4, 22, 0
 , 2, 3259, 19, 18, 0
 , 1, 2689, 25, 0, 0
 , 4, 6453, 11, 20, 0
 , 1, 2650, 22, 0, 0
 , 3, 4031, 13, 20, 0
 , 5, 16013, 4, 30, 0
 , 1, 2722, 24, 0, 0
 , 5, 17186, 3, 22, 0
 , 2, 3256, 21, 10, 0
 , 4, 6520, 5, 18, 0
 , 3, 4161, 16, 20, 0
 , 1, 2546, 21, 0, 0
 , 4, 6882, 13, 16, 0
 , 5, 17114, 7, 20, 0
 , 4, 6769, 23, 22, 0
 , 5, 13145, 10, 40, 0
 , 5, 16515, 6, 22, 0
 , 5, 17559, 5, 20, 0
 , 3, 4329, 25, 12, 0
 , 3, 4167, 27, 16, 0
 , 4, 6478, 13, 20, 0
 , 5, 17849, 11, 18, 0
 , 4, 7294, 18, 22, 0
 , 1, 2587, 37, 0, 0
 , 4, 6735, 32, 22, 0
 , 1, 2790, 25, 0, 0
 , 5, 16571, 12, 28, 0
 , 2, 3369, 37, 12, 0
 , 5, 17466, 16, 20, 0
 , 2, 3322, 32, 20, 0
 , 1, 2670, 29, 0, 0
 , 1, 2663, 45, 0, 0
 , 5, 16155, 1, 20, 0
 , 3, 4361, 24, 16, 0
 , 4, 7915, 18, 18, 0
 , 4, 6281, 35, 24, 0
 , 4, 6783, 15, 22, 0
 , 2, 3063, 51, 10, 0
 , 3, 4096, 49, 18, 0
 , 1, 2781, 67, 0, 0
 , 5, 16040, 6, 22, 0
 , 1, 2805, 49, 0, 0
 , 2, 3303, 47, 12, 0
 , 3, 4259, 56, 18, 0
 , 1, 2741, 54, 0, 0
 , 1, 2709, 56, 0, 0
 , 5, 17563, 19, 18, 0
 , 5, 17385, 6, 20, 0
 , 5, 15851, 5, 22, 0
 , 1, 2566, 52, 0, 0
 , 1, 2559, 79, 0, 0
 , 2, 3087, 73, 16, 0
 , 5, 17648, 10, 14, 0

RUN 4
 , 5, 15439, 0, 24, 0
 , 4, 7244, 0, 14, 0
 , 2, 2507, 0, 14, 0
 , 2, 2893, 0, 12, 0
 , 5, 17905, 0, 22, 0
 , 3, 3982, 0, 12, 0
 , 2, 2589, 0, 14, 0
 , 1, 2306, 4, 0, 0
 , 5, 17455, 0, 18, 0
 , 5, 14908, 0, 18, 0
 , 2, 2827, 0, 14, 0
 , 5, 17429, 1, 20, 0
 , 4, 6554, 1, 20, 0
 , 3, 3818, 1, 16, 0
 , 4, 6008, 5, 18, 0
 , 2, 2901, 2, 12, 0
 , 4, 5784, 0, 20, 0
 , 2, 2913, 3, 14, 0
 , 1, 2389, 1, 0, 0
 , 5, 16338, 0, 22, 0
 , 2, 2521, 2, 20, 0
 , 4, 5642, 1, 30, 0
 , 3, 4134, 0, 10, 0
 , 2, 3157, 5, 10, 0
 , 1, 2523, 9, 0, 0
 , 2, 2449, 10, 18, 0
 , 4, 6201, 9, 14, 0
 , 3, 3701, 4, 22, 0
 , 5, 17436, 1, 16, 0
 , 4, 6596, 5, 18, 0
 , 2, 3059, 2, 10, 0
 , 5, 18377, 1, 16, 0
 , 3, 3414, 9, 20, 0
 , 1, 2337, 3, 0, 0
 , 5, 14953, 2, 30, 0
 , 1, 2205, 25, 0, 0
 , 3, 3774, 9, 24, 0
 , 3, 4050, 4, 18, 0
 , 4, 6109, 7, 24, 0
 , 2, 2812, 10, 14, 0
 , 3, 3456, 7, 22, 0
 , 3, 3773, 9, 16, 0
 , 2, 2705, 9, 12, 0
 , 4, 5416, 8, 18, 0
 , 3, 3217, 12, 26, 0
 , 5, 13648, 2, 36, 0
 , 5, 15704, 1, 24, 0
 , 3, 3865, 11, 16, 0
 , 1, 2590, 12, 0, 0
 , 1, 2127, 11, 0, 0
 , 3, 3870, 6, 18, 0
 , 4, 5839, 19, 20, 0
 , 5, 17193, 4, 16, 0
 , 1, 2563, 8, 0, 0
 , 4, 5522, 3, 26, 0
 , 5, 18930, 2, 18, 0
 , 4, 5969, 7, 20, 0
 , 1, 2218, 22, 0, 0
 , 5, 18677, 3, 20, 0
 , 4, 6224, 9, 24, 0
 , 4, 6468, 13, 24, 0
 , 4, 6837, 9, 16, 0
 , 2, 2794, 17, 12, 0
 , 1, 2373, 41, 0, 0
 , 1, 2482, 34, 0, 0
 , 4, 6865, 16, 12, 0
 , 3, 3809, 33, 16, 0
 , 5, 16572, 3, 24, 0
 , 3, 3957, 23, 16, 0
 , 4, 5691, 13, 32, 0
 , 1, 2418, 33, 0, 0
 , 4, 5741, 15, 22, 0
 , 5, 15730, 4, 24, 0
 , 2, 2617, 35, 12, 0
 , 5, 16753, 5, 22, 0
